2019-20 Class Size by Gender and Selected Population ,,,,,,,,,
District Name,District Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %
Millbury,01860000,     842,  18.1,"      1,709",  48.1,  51.6,   4.6,  18.3,  28.6
Millis,01870000,     575,  16.6,"      1,194",  49.7,  50.3,   1.7,  13.5,  11.7
Milton,01890000,"   1,954",  20.3,"      4,442",  50.1,  49.8,   2.6,  15.0,  10.5
Minuteman Regional Vocational Technical,08300000,     554,  12.2,        586,  36.2,  63.0,   1.9,  36.4,  20.1
Mohawk Trail,07170000,     411,  12.0,        846,  50.1,  49.8,    .7,  22.8,  34.8
Monomoy Regional School District,07120000,"   1,314",  15.5,"      1,886",  48.9,  51.1,   4.7,  16.7,  30.6
Monson,01910000,     571,  15.3,        925,  51.1,  48.7,    .8,  18.3,  30.0
Montachusett Regional Vocational Technical,08320000,     609,  18.8,"      1,415",  49.9,  49.8,   1.0,  14.8,  25.9
Mount Greylock,07150000,     646,  14.8,"      1,169",  50.7,  49.3,    .2,  15.0,  18.7
Mystic Valley Regional Charter (District),04700000,     755,  23.9,"      1,581",  51.4,  48.6,   1.8,  12.3,  19.0
Nahant,01960000,      65,  17.1,        159,  50.3,  49.7,    .0,  25.8,  20.1
Nantucket,01970000,     909,  17.3,"      1,700",  48.6,  51.2,  16.9,  16.0,  25.2
Narragansett,07200000,     659,  19.4,"      1,472",  47.0,  53.0,    .2,  16.9,  31.9
Nashoba,07250000,"   1,444",  17.1,"      3,199",  49.5,  50.5,   2.7,  16.9,   9.4
Nashoba Valley Regional Vocational Technical,08520000,     384,  14.0,        690,  38.3,  61.2,    .7,  32.0,  21.5
Natick,01980000,"   2,677",  18.9,"      5,557",  48.3,  51.7,   3.5,  15.7,  10.3
Nauset,06600000,     979,  15.8,"      1,491",  53.3,  46.6,   2.1,  16.0,  21.9
Needham,01990000,"   2,251",  19.2,"      5,717",  49.5,  50.4,   2.9,  17.5,   5.5
Neighborhood House Charter (District),04440000,     348,  15.7,        714,  49.0,  50.7,  11.8,  19.3,  46.8
New Bedford,02010000,"   6,224",  18.1,"     13,206",  47.5,  52.5,  29.0,  21.6,  70.0
New Heights Charter School of Brockton (District),35130000,     202,  21.7,        620,  51.8,  48.2,   9.7,   9.8,  49.0
New Salem-Wendell,07280000,      30,  18.3,        147,  51.7,  48.3,    .0,  18.4,  30.6
Newburyport,02040000,"   1,293",  17.9,"      2,262",  50.8,  49.1,   2.5,  18.1,  10.7
